Localidad;Departamento;Provincia;POBLACION CENSO 2010;Estado
1° de Mayo;Cainguás;Misiones;423;Conectado
2 de Mayo _Nucleo 1;Cainguás;Misiones;6829;Conectado
2 de Mayo _Nucleo 2;Cainguás;Misiones;0;Conectado
2 de Mayo _Nucleo 3;Cainguás;Misiones;776;Conectado
20 de Septiembre;Nogoyá;Entre Rios;187;Conectado
25 de Mayo;Puelén;La Pampa;3878;Conectado
25 de Mayo..;25 de Mayo;Buenos Aires;1510;Conectado
25 de Mayo..;San Rafael;Mendoza;8749;Conectado
9 de Julio;9 de Julio;San Juan;37169;Conectado
9 de Julio..;9 de Julio;Buenos Aires;3860;Conectado
Aaron Castellanos;General López;Santa Fe;242;Conectado
Abasto Silica;La Plata;Buenos Aires;7139;Conectado
Abra Grande;Banda;Santiago del Estero;145;Conectado
Abra Pampa;Cochinoca;Jujuy;8901;Conectado
Acevedo;Pergamino;Buenos Aires;1539;Conectado
Acheral;Monteros;Tucuman;2802;Conectado
Adelia Maria;Río Cuarto;Cordoba;7863;Conectado
Aerolito;Moreno;Santiago del Estero;267;Conectado
Aguada Cecilio;Valcheta;Rio Negro;189;Conectado
Aguada de Guerra;25 de Mayo;Rio Negro;138;Conectado
Aguaray;Gral.J. de San Martín;Salta;11071;Conectado
Aguas Blancas;Orán;Salta;2538;Conectado
Aguilares;Rio Chico;Tucuman;34126;Conectado
Agustin Roca;Junin;Buenos Aires;334;Conectado
Agustina;Junin;Buenos Aires;156;Conectado
Aimogasta;Arauco;La Rioja;13008;Conectado
Alberdi Viejo;Leandro N. Alem;Buenos Aires;322;Conectado
Alcaraz _Pueblo Arrua;La Paz;Entre Rios;2531;Conectado
Alcira Gigena;Río Cuarto;Cordoba;6135;Conectado
Aldea Asuncion;Gualeguay;Entre Rios;273;Conectado
Aldea Brasilera;Diamante;Entre Rios;918;Conectado
Aldea Maria Luisa;Paraná;Entre Rios;798;Conectado
Aldea Protestante;Diamante;Entre Rios;532;Conectado
Aldea Salto;Diamante;Entre Rios;105;Conectado
Aldea San Antonio;Gualeguaychú;Entre Rios;1135;Conectado
Aldea San Francisco;Diamante;Entre Rios;43;Conectado
Aldea San Isidro;Federal;Entre Rios;353;Conectado
Aldea San Juan;Gualeguaychú;Entre Rios;186;Conectado
Aldea San Rafael;Paraná;Entre Rios;149;Conectado
Aldea Santa Maria;Paraná;Entre Rios;312;Conectado
Aldea Santa Rosa;Paraná;Entre Rios;73;Conectado
Aldea Spatzenkutter;Diamante;Entre Rios;364;Conectado
Aldea Valle Maria;Diamante;Entre Rios;2204;Conectado
Alfredo Demarchi _Est F Quiroga;9 de Julio;Buenos Aires;1946;Conectado
Algarrobo del Aguila;Chical Co;La Pampa;319;Conectado
Alhuampa;Moreno;Santiago del Estero;505;Conectado
Almafuerte.;Tercero Arriba;Cordoba;309;Conectado
Alpasinche;San Blas de Los Sauces;La Rioja;4114;Conectado
Altamirano Sur;Tala;Entre Rios;62;Conectado
Alto Rio Senguer;Río Senguer;Chubut;1543;Conectado
Alto Verde;Chicligasta;Tucuman;2429;Conectado
Amadores;Paclín;Catamarca;170;Conectado
Amaicha del Valle;Tafí del Valle;Tucuman;1377;Conectado
Amenabar;General López;Santa Fe;1644;Conectado
America;Rivadavia;Buenos Aires;12322;Conectado
Angastaco;San Carlos;Salta;812;Conectado
Angulos;Famatina;La Rioja;122;Conectado
Animana;San Carlos;Salta;1259;Conectado
Antaje;Banda;Santiago del Estero;221;Conectado
Antelo;Victoria;Entre Rios;216;Conectado
Añatuya;General Taboada;Santiago del Estero;23740;Conectado
Aranguren;Nogoyá;Entre Rios;1575;Conectado
Arcadia;Chicligasta;Tucuman;2150;Conectado
